     Done in : 0:05:55.404446 for 2020-08-31 20:00:01
         15406893 function calls (15404931 primitive calls) in 390.855 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      755    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:1205(absolute)
       44    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/inspect.py:948(getsourcefile)
       44    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/inspect.py:908(getfile)
   104/98    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      149    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/importlib_metadata/__init__.py:115(read)
       73    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/functools.py:35(update_wrapper)
        3    0.000    0.000    0.024    0.008 /Users/nico/projects/climato/app/classes/migrate/migrate.py:157(getNewDateBracket)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       18    0.000    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/connection_cext.py:646(cmd_query)
        4    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        5    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/abstracts.py:174(__init__)
        4    0.000    0.000    0.000    0.000 /Users/nico/projects/climato/app/classes/migrate/migrate.py:232(getWeewxSelectSql)
     3075    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/cursor_cext.py:778(<genexpr>)
      156    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/opentelemetry/sdk/trace/export/__init__.py:296(_get_and_unset_flush_request)
       74    0.000    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/importlib_metadata/_itertools.py:4(unique_everseen)
       73    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/importlib_metadata/__init__.py:865(_normalized_name)
       91    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:293(_is_owned)
        5    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/connection_cext.py:162(_do_handshake)
      808    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       13    0.000    0.000    0.003    0.000 /Users/nico/projects/climato/app/classes/json_loader/jsonLoader.py:56(getNextWorkItem)
        3    0.000    0.000    0.000    0.000 {method 'close' of '_mysql_connector.MySQL' objects}
      101    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       91    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:287(_release_save)
       26    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      176    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/inspect.py:958(<genexpr>)
      125    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        5    0.000    0.000    0.020    0.004 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/connection_cext.py:112(__init__)
        2    0.000    0.000    0.003    0.002 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/inspect.py:1742(getouterframes)
        5    0.000    0.000    0.023    0.005 /Users/nico/projects/climato/app/classes/migrate/migrate.py:256(getMSQLConnection)
       73    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/importlib_metadata/__init__.py:326(_from_text_for)
      149    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/importlib_metadata/__init__.py:109(<genexpr>)
        8    0.000    0.000    0.004    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/cursor_cext.py:328(execute)
      149    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/importlib_metadata/__init__.py:332(<genexpr>)
       18    0.000    0.000    0.013    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/opentelemetry/context_propagation.py:71(wrapper)
       19    0.000    0.000    0.000    0.000 {method 'free_result' of '_mysql_connector.MySQL' objects}
      104    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
      474    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        5    0.000    0.000    0.019    0.004 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/abstracts.py:1340(connect)
       10    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/connection_cext.py:689(cursor)
      100    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/__init__.py:280(_compile)
       64    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/connection_cext.py:984(handle_unread_result)
        5    0.000    0.000    0.020    0.004 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/pooling.py:202(connect)
        1    0.000    0.000    0.035    0.035 /Users/nico/projects/climato/app/classes/migrate/migrate.py:107(processWorkItem_perf)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/db/models/sql/query.py:1432(build_filter)
        3    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      239    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:298(__init__)
       13    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:606(clear)
       11    0.000    0.000    0.000    0.000 {built-in method now}
       93    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       73    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/importlib_metadata/_functools.py:89(pass_none)
       15    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/connection_cext.py:584(fetch_eof_status)
       73    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:1023(read_text)
        5    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/abstracts.py:871(_check_server_version)
        6    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/psycopg2/extensions.py:138(make_dsn)
       76    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/importlib_metadata/_collections.py:28(parse)
       18    0.000    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/opentelemetry/context/__init__.py:41(wrapper)
       91    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
       77    0.000    0.000    0.000    0.000 <frozen posixpath>:169(basename)
      236    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {built-in method psycopg2._psycopg.parse_dsn}
        6    0.000    0.000    0.000    0.000 {method 'fetch_fields' of '_mysql_connector.MySQL' objects}
  157/154    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      132    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/inspect.py:955(<genexpr>)
        5    0.000    0.000    0.000    0.000 {built-in method _socket.gethostname}
        2    0.000    0.000    0.000    0.000 /Users/nico/projects/climato/app/classes/data_loader/dl_weewx.py:96(fixMinMax)
       28    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        5    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/connection_cext.py:145(_add_default_conn_attrs)
      446    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       76    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
       76    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/importlib_metadata/_py39compat.py:25(ep_matches)
       69    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/db/models/sql/query.py:375(clone)
      149    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/importlib_metadata/__init__.py:328(<genexpr>)
       76    0.000    0.000    0.000    0.000 <frozen genericpath>:133(_splitext)
      5/1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_parser.py:505(_parse)
       73    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/importlib_metadata/__init__.py:787(normalize)
       40    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/encodings/utf_8.py:15(decode)
       73    0.000    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/importlib_metadata/__init__.py:489(entry_points)
       22    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/inspect.py:1674(_get_code_position)
       78    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/opentelemetry/sdk/trace/export/__init__.py:308(_notify_flush_request_finished)
        5    0.000    0.000    0.009    0.002 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/abstracts.py:1209(set_charset_collation)
        2    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/db/models/sql/compiler.py:725(as_sql)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/db/models/sql/compiler.py:229(get_select)
